1	1 aprilgek;1 aprilmop;1 aprilgrap;1 aprilgrappen;1 meifeest;1 meifeesten
8	8 uurjournaal
aanschijns	in het zweet des aanschijns;in het zweet zijns aanschijns
aanvals-	aanvals- of gevechtshelikopter;aanvals- en verdedigingsbonus
ab	ab initio
Abebiet	
Abebitisch	
abele	abele spelen
abeundi	consilium abeundi;judicium abeundi
Aboe	
abstracto	in abstracto
absurdum	reductio ad absurdum;ad absurdum
Accijnswet	Douane- en Accijnswet BES
accompli	fait accompli
Acker	
acte	acte de présence;akte
actes	actes de présence
Addis	
Adriaenszoon	
aequo	ex aequo
Agnus	
agreement	gentleman's agreement
Agt	
Ahead	Go Ahead Eagles
aigu	accent aigu
Airees	Buenos Aires
Aires	Buenos Aires
ajam	ajam pangang;saté ajam
aleikum	salam aleikum
algemenen	ten algemenen nutte
Alighieri	
alii	et alii
all	all right
alleenstaanden-	alleenstaanden- en het gezinspensioen;alleenstaanden- of gezinsdekking
Amalie	
ambtswege	van ambtswege
americain	filet americain
American	
Amu	Amu Darja
amused	not amused
Andamanse	
anderendaags	's anderendaags
Anthonis	
aprilgek	1 aprilgek
Armoricaans	
art	art nouveau;art deco
assistent-	assistent- en basisberoepsopleiding;assistent- en conditietrainer
Asturisch-Cantabrisch	
Atlantisch-Indisch-Antarctisch	
Atlantisch-Indische	
Atos	Atos Origin
australopithecus	homo australopithecus
avant	avant la lettre
avonds	's avonds
A-woning	premie A-woning
Ayers	Ayers Rock
Azov	
Bab	Bab el Mandeb
bain-marie	au bain-marie
Baldur	Baldur von Shirach
Banater	Banater Bulgaars
Bandar	
barrebiesjes	naar de barrebiesjes
Bartjens	
basso	basso continuo
B-complex	vitamine B-complex
Beatles	
bedde	te bedde
bedrage	ten bedrage van
bedrijfs-	bedrijfs- en inkomensschade;bedrijfs- en huisautomatiseringssystemen
Begawan	Bandar Seri Begawan
beginne	in den beginne
behoeve	te zijnen behoeve;ten behoeve van
belastings-	belastings- en uitkeringsstelsels;belastings- en douanestelsels
Belgicus	
bello	pico bello
belope	ten belope van
benefit	benefit of the doubt
bene	nota bene
besluite	ten besluite van
bestemder	te bestemder plaatse;te bestemder tijd
bèta-	bèta- en gammawetenschappen;bèta- en techniekonderwijs
betalings-	betalings- en verrekeningssystemen;betalings- of leveringsvoorwaarden
beurre	beurre blanc;crème au beurre
bewijze	ten bewijze
bezakt	bepakt en bezakt
bez.	bez. vnw.
bifida	spina bifida
bij-	bij- of nevenzaken
Bildt	
biloba	ginkgo biloba
B-injecties	vitamine B-injecties
binnenuit	van binnenuit
bin	Osama bin Laden
black	black box;black metal
Blanc	
blanche	carte blanche;dame blanche
bloc	en bloc
bloede	in koelen bloede;van koninklijken bloede
bloedens	tot bloedens toe
bloody	bloody mary;bloody mary's
blue	out of the blue;Danish blue;blue card
BNR	BNR Nieuwsradio
boekentop	boekentop 10;boekentop 3
Boergondisch	
Boergondische	
Boheems-Moravische	
Bonaparte	
Bonifacio	
bonne	bonne bouche
bonnes	bonnes bouches
bono	pro bono;cui bono
Borromeus	
Botnische	Botnische Golf
bouche	bonne bouche;flux de bouche
bouches	bonnes bouches
boules	jeu de boules
Boven-Rijnse	
Bradbury	
brode	om den brode
Broec	Stede Broec
broge	mazzel en broge
bron-	bron- en contactonderzoek
Brugman	praten als Brugman
Bruyn	
btw-	btw- en accijnsverhogingen;btw- en bni-betalingen
Buenos	Buenos Aires
buikte	buikte uit
burele	ten burele
Burkina	Burkina Faso
but	last but not least
Cadier	
Caicoseilanden	Turks- en Caicoseilanden
Campanische	
Campert	
Canarische	
Cantabrisch	
capella	a capella
capita	per capita;capita selecta
care	intensive care
carne	chili con carne
carrière-	carrière- en doorgroeimogelijkheden;carrière- of medezeggenschapsmogelijkhe
carte	à la carte
catering-	catering- en hoteldiensten;catering- en winkeltoepassing
cathedra	ex cathedra
causa	honoris causa
Centraal-Indische	
Centraal-Pacifisch	
Centraal-Pacifische	
cetera	et cetera
ceteris	ceteris paribus
chaise	chaise longue
chaises	chaises longues
Champions	Champions League
chantant	café chantant
chantants	café chantants
Charlotte-eilanden	
cheek	tongue in cheek
choice	multiple choice
chow	bunny chow;chow mein
-cijferig	drieletterig of -cijferig;2-letterig en -cijferig
cire	cire perdue
Civilis	
clausus	numerus clausus
Clercq	De Clercq
Cockburn	
Cockerill	
Cocksdorp	De Cocksdorp
co	en co
coffee	Irish coffee
coffees	Irish coffees
coitus	coitus interruptus
colada	pina colada
cold	cold case;cold turkey;cold calling
coli	E. coli
collect	collect call
collector's	collector's item
cologne	eau de cologne
colour	full colour
coming	coming out;coming man
commedia	commedia dell'arte
common	common sense
communis	communis opinio
Compostela	Santiago de Compostela
Compostella	Santiago de Compostella
conceptual	conceptual art
concreto	in concreto
conditio	conditio sine qua non
condition	condition humaine
Coninck	
constrictor	boa constrictor
contrecoeur	à contrecoeur
Cook	
coq	coq au vin
cordon	cordon bleu;cordon sanitaire
correcten	politiek correcten
Corstius	
Coruña	La Coruña;A Coruña
Cottische	
couleur	couleur locale
court	tout court
Cove	Lulworth Cove
culpa	mea culpa
cum	cum suis;cum laude
dage	heden ten dage;ten eeuwigen dage
dalai	dalai lama;dalai lama's
Dalmatische	
danse	danse macabre
danses	danses macabres
d'anvers	filet d'anvers
d'Arc	Jeanne d'Arc
Darja	
death	sudden death;death metal
deco	art deco
Dei	
dele	ten dele;in allen dele;in genen dele
Delhisch	
delicious	golden delicious
delicti	corpus delicti;locus delicti
dell'arte	commedia dell'arte
demand	video on demand;printing on demand
dementia	dementia praecox;dementia paralytica
dente	al dente
d'équipe	chef d'équipe
derde-	derde- en vierdejaars;derde- tot vijfdegroeper;derde- of zesdeklasser
derdegeneratie-	derdegeneratie- of 3G-netwerken
Desiderius	
Deum	
deus	deus ex machina;deus ex machina's
deux	pas de deux
Dhabi	Abu Dhabi
d'hôtel	maître d'hôtel
diene	dienen
dienste	ten dienste
dii	dii menores
dijn	mijn en dijn
Dinarische	
dinky	dinky toy;dinky toys
diplomatique	corps diplomatique
director	managing director
disc	compact disc
discs	compact discs
doble	paso doble
docking	docking station
doeloe	tempo doeloe
Dolder	
dolfijnen-	dolfijnen- en walvissenvlees;dolfijnen- en zeehondenshow
Domela	
domo	oratio pro domo;pro domo
d'orange	jus d'orange
doubt	benefit of the doubt
downs	ups en downs
Doyle	
draken-	draken- en leeuwendansen;draken- en phoenixfiguren
dramatis	dramatis personae
drie-	drie- of vier-en-een-half;drie- tot vijf-en-een-half
dubio	in dubio
duiven-	duiven- en rattenoverlast;pluimvee- duiven- en kanarieverenigingen
duplo	in duplo
dusverre	tot dusverre
dusver	tot dusver
Dutchman	Flying Dutchman
Dyck	
Dzjoengaarse	
Eagles	Go Ahead Eagles
earl	earl grey
easy	easy listening;easy rider;easy riders
eau	eau de cologne;eau de parfum;eau de toilette;eau de toiletteje
eaux	eaux de cologne;eaux de toilette;eaux de vie
ede	onder ede
Edwardeiland	Prins Edwardeiland
EEG-	EEG- en EFTA-landen;EEG- en HACCP-normen;EEG- en de EGKS-procedures
EEG-Turkije	Overeenkomst EEG-Turkije;Associatieraad EEG-Turkije
eenden-	eenden- of ganzenlever;eenden- of ganzendons
eenre	ter eenre zijde
Egadische	
elektro-	elektro- en besturingstechniek;elektro- en staalindustrie
elfder	te elfder ure
Elizabetheilanden	Koningin Elizabetheilanden
Elsschot	
-e-mail	bedrijfsinternetverbindingen en -e-mail
éminence	éminence grise
endo-	endo- en exogene vergiften;endo- en ectoparasieten
enenmale	ten enenmale
enfant	enfant terrible
enfants	enfants terribles
erectus	homo erectus
est	hora est;id est
et	hic et nunc;et cetera
Everest	Mount Everest
extenso	in extenso
extremis	in extremis
face	en face
facto	de facto;ipso facto
fait	fait accompli
fallopii	tuba fallopii
familias	pater familias;mater familias
fancy	fancy fair;fancy fairs
fantastica	pseudologia fantastica
Faso	Burkina Faso
fatales	femmes fatales
Fatra	Kleine Fatra;Grote Fatra
faut	comme il faut
faux	faux pas
faveure	ten faveure van
feite	in feite
femme	femme fatale
femmes	femmes fatales
feng	feng shui
Fe	Santa Fe
fine	fine fleur;in fine;ter fine van
fin	fin de siècle
Fish	
five	high five
fixus	numerus fixus
flier	frequent flier
Flying	Flying Dutchman
football	american football
forma	pro forma
fortiori	a fortiori
fraîche	crème fraîche
franca	lingua franca
free	free kick;free kicks
fundum	ad fundum
Futuna	Wallis en Futuna
Gagarin	
garnalen-	garnalen- en oestervissers;garnalen- en vishandel
Gaulle	De Gaulle;Charles de Gaulle
Gautama	Siddhartha Gautama Boeddha
gebreke	in gebreke
gelde	te gelde
gemeentehuize	ten gemeentehuize
gemoede	in gemoede
generis	sui generis
geschenke	ten geschenke
getale	in groten getale
gevallend	des gevallend
gevolge	ten gevolge van
Gezelle	
Godswege	van Godswege
goeder	te goeder trouw;te goeder naam en faam;te goeder ure
Gogh	Van Gogh
gogo	à gogo
goreng	nasi goreng;pisang goreng;bami goreng
Graft-De	Graft-De Rijp
Grajische	
grand	grand café;grand cafés;grand prix;grand seigneur;grand slam;grand slams
granny	granny smith;granny smiths
grata	persona non grata
gratin	au gratin
